"Subject;Predicate;Object"
"Person;dbpedia-owl:birthplace;London"
"Person;dbpedia-owl:father;Lord Byron"
"Person;eac-cpf:isInvolvedin;Article XXIX"
"Ada Lovelace Portrait;dcterms:created;1840"
"Ada Lovelace Portrait;crm:P62_depicts;Ada Lovelace"
"Ada Lovelace Portrait;fabio:HasCreator;Alfred Edward Chalon"
"Ada Lovelace Portrait;dbpedia-owl:material;Watercolor"
"Ada Lovelace Portrait;dbpedia-owl:location;Science Museum"
"Ada Lovelace Portrait;dbpedia-owl:technique;Painting"
"Ada Lovelace Portrait;crm:P7_took_place_at;England"
"Picture of Ada Lovelace;fabio:IsPotrayalOf;Ada Lovelace"
"Picture of Ada Lovelace;dbpedia-owl:technique;Daguerrotype"
"Picture of Ada Lovelace;crm:P14_carried_out_by;Antoine Claudet"
"Picture of Ada Lovelace;dcterms:created;2 January 1843"
"Picture of Ada Lovelace;crm:P7_took_place_at;Claudet's Studio"
"Picture of Ada Lovelace;dbpedia-owl:owner;Geoffrey Bond"
"Ada Lovelace Calculation letter;dbpedia-owl:writer;Ada Lovelace"
"Ada Lovelace Calculation letter;crm:P2_has_type;Handwritten letter"
"Ada Lovelace Calculation letter;dbpedia-owl:location;British Library"
"Ada Lovelace Calculation letter;schema:recipient;Charles Babbage"
"Ada Lovelace Calculation letter;dcterms:date;10 July 1843"
"Ada Lovelace Calculation letter;dcterms:language;English"
"Ada Day's Logo;fabio:IsPotrayalOf;Ada Lovelace"
"Ada Day's Logo;crm:P17_was_motivated_by;Ada Lovelace Day"
"Ada Day's Logo;dbpedia-owl:producedby;Stuart Brett"
"Ada Day's Logo;dcterms:date;1 October 2015"
"Ada Lovelace Letter;dbpedia-owl:writer;Ada Lovelace"
"Ada Lovelace Letter;dbpedia-owl:location;Houghton Library"
"Ada Lovelace Letter;dcterms:language;English"
"Ada Lovelace Letter;dbpedia-owl:writer;Ada Lovelace"
"Ada Lovelace Letter;schema:recipient;Ralph Waldo Emerson"
"Ada Lovelace Letter;crm:P2_has_type;Handwritten letter"
"Ada Lovelace Letter;dcterms:date;7 July 1848"
"Article XXIX;fabio:isManifestationOf;Translation and addition of notes"
"Article XXIX;dcterms:ispartof;Sketch of the analytical engine invented by Charles Babbage"
"Article XXIX;dcterms:hasformat;Scanned copy"
"Conceiving Ada;crm:P129_is_about;Ada Lovelace"
"Conceiving Ada;dcterms:date;19 February 1999"
"Conceiving Ada;fabio:hasEmbodiment;Movie"
"Conceiving Ada;dbpedia-owl:director;Lynn Hershmann-Leeson"
"Conceiving Ada;crm:P84_had_at_most_duration;1 hour 25 minutes"
"Conceiving Ada;crm:P108_i_was_produced_by;Complex Corporation Hotwire Productions Outpost Studios"
"Conceiving Ada;dbpedia-owl:genre;Drama Fantasy Science Fiction"
"Conceiving Ada;dcterms:language;English"
"Spyfall:Part two;dcterms:language;English"
"Spyfall:Part two;dcterms:ispartof;Tv Series"
"Spyfall:Part two;dbpedia-owl:genre;Adventure Drama Science Fiction"
"Spyfall:Part two;dbpedia-owl:televisiondirector;Lee Haven Jones"
"Spyfall:Part two;dcterms:date;5 January 2020"
"Ada Potrayal;dcterms:date;1893"
"Ada Potrayal;fabio:hasCreator;Alfred Edward Chalon"
"Ada Potrayal;dbpedia-owl:publisher;Bentley Richard & Son"
"Ada Potrayal;isbd:P1007;Joseph Brown"
"Ada Potrayal;dbpedia-owl:technique;Print"
"Book;dcterms:format;Text"
"Book;dcterms:title;The thrilling adventures of Lovelace and Babbage"
"Book;fabio:hasCreator;Padua Melina Sydney"
"Book;dcterms:language;English"
"Book;dcterms:date;2015"
"Book;dcterms:type;Monography"
"Book;dbpedia-owl:publisher;Particular Books"